p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,cZxpos,cZy,cZz,time
18.01026,1,17.17641,0,0.9517519,0,0.3068685,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.58461
17.94197,1,17.12852,0,0.9536088,0,0.3010489,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.604609
17.87337,1,17.08095,0,0.9543936,0,0.2985514,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.624609
18.01075,1,17.17622,0,0.9542633,0,0.2989678,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.644609
18.07838,1,17.22489,0,0.9517519,0,0.3068686,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.664609
18.14489,1,17.27508,0,0.9482095,0,0.3176459,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.684609
18.20983,1,17.32728,0,0.943248,0,0.3320889,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.704609
18.27262,1,17.38204,0,0.9363931,0,0.350953,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.724609
18.39125,1,17.49919,0,0.9208753,0,0.3898573,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.744609
18.3357,1,17.43708,0,0.9128655,0,0.4082606,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.764609
18.28212,1,17.37313,0,0.9061557,0,0.4229444,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.784609
18.23019,1,17.30798,0,0.900921,0,0.4339833,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.804609
18.17902,1,17.24168,0,0.8974847,0,0.4410456,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.824609
18.07813,1,17.10892,0,0.8955517,0,0.4449575,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.844609
18.02791,1,17.04243,0,0.8951631,0,0.4457388,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.864609
17.97762,1,16.97582,0,0.8951631,0,0.4457388,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.884609
17.927,1,16.90964,0,0.8965204,0,0.4430026,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.904609
17.87565,1,16.84382,0,0.8986362,0,0.4386945,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.924609
17.87663,1,16.84329,0,0.903742,0,0.4280775,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.944609
17.93054,1,16.90695,0,0.9072598,0,0.4205706,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.964609
17.98521,1,16.96982,0,0.909993,0,0.4146237,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.984609
18.04092,1,17.032,0,0.9130434,0,0.4078623,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.004609
18.09752,1,17.09332,0,0.9160437,0,0.4010785,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.02461
18.21319,1,17.21349,0,0.9208753,0,0.3898573,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.04461
18.27263,1,17.27188,0,0.9255695,0,0.3785779,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.06461
18.33329,1,17.32922,0,0.9291608,0,0.3696757,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.08461
18.3949,1,17.38546,0,0.9323515,0,0.3615533,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.104609
18.4574,1,17.44055,0,0.9354711,0,0.3534033,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.124609
18.58461,1,17.54849,0,0.9398679,0,0.3415383,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.144609
18.64952,1,17.60104,0,0.942667,0,0.3337348,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.164609
18.71527,1,17.65221,0,0.9458272,0,0.3246706,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.184609
18.78253,1,17.70178,0,0.949996,0,0.3122623,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.204609
18.85104,1,17.74974,0,0.95374,0,0.3006329,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.224609
18.99679,1,17.84092,0,0.9623575,0,0.2717868,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.244609
19.02019,1,17.92089,0,0.9688188,0,0.2477705,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.264609
19.04622,1,18.00003,0,0.9727936,0,0.2316735,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.284609
19.07507,1,18.0782,0,0.9767823,0,0.2142345,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.304609
19.1067,1,18.15528,0,0.9804583,0,0.1967268,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.324609
19.11484,1,18.31016,0,0.9870787,0,0.1602364,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.344609
19.09091,1,18.38997,0,0.9894106,0,0.145144,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.364609
19.06922,1,18.47041,0,0.9913407,0,0.1313155,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.384609
19.04999,1,18.55148,0,0.9932303,0,0.1161614,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.404609
19.03403,1,18.63326,0,0.9953616,0,0.09620395,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.424609
19.01803,1,18.79897,0,0.9996479,0,0.02653669,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.444609
19.01826,1,18.88228,0,0.999999,0,-0.001385467,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.464609
19.02292,1,18.96547,0,0.999608,0,-0.02799808,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.484609
19.03222,1,19.04827,0,0.9984365,0,-0.05589786,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.504609
19.0462,1,19.1304,0,0.9964498,0,-0.08418884,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.52461
19.08632,1,19.29209,0,0.9911476,0,-0.1327647,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.54461
19.11139,1,19.37155,0,0.9883499,0,-0.152199,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.56461
19.13921,1,19.45009,0,0.9855431,0,-0.1694249,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.58461
19.16989,1,19.52755,0,0.982273,0,-0.1874565,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.604609
19.20373,1,19.60369,0,0.9782224,0,-0.2075597,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.624609
19.28093,1,19.75131,0,0.9681285,0,-0.250454,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.644609
19.26043,1,19.83206,0,0.964191,0,-0.2652092,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.664609
19.24192,1,19.9133,0,0.960879,0,-0.2769689,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.684609
19.22453,1,19.99478,0,0.958922,0,-0.2836703,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.704609
19.15494,1,20.0406,0,0.9579259,0,-0.2870158,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.724609
19.01592,1,20.13247,0,0.957675,0,-0.2878517,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.744609
18.94645,1,20.17847,0,0.9575493,0,-0.2882695,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,6.764609
