p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,cZxpos,cZy,cZz,time
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.53542
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.55541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.57541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.59541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.61541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.63541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.65541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.67542
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.69541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.71542
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.73541
49.48544,1,2.529439,0,-0.7551063,0,0.6556023,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.75541
49.48544,1,2.529439,0,-0.7548202,0,0.6559318,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.77541
49.48544,1,2.529439,0,-0.752526,0,0.6585626,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.79541
49.48544,1,2.529439,0,-0.752526,0,0.6585626,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.81541
49.48544,1,2.529439,0,-0.752526,0,0.6585626,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.83541
49.48544,1,2.529439,0,-0.752526,0,0.6585626,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.85542
49.48544,1,2.529439,0,-0.7528132,0,0.6582342,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.87541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.89542
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.91541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.93541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.95541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.97541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.99541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.01541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.03542
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.05541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.07541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.09541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.11541
49.48544,1,2.529439,0,-0.7531003,0,0.6579056,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,78.13541
